status,original_rtd_canonical_url,mintlify_canonical_url,mintlify_route,note
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/Customization/Index.html,http://192.168.0.137:3000/EXTKarma/Customization/Index,/EXTKarma/Customization/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/EditorGuide/Index.html,http://192.168.0.137:3000/EXTKarma/EditorGuide/Index,/EXTKarma/EditorGuide/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/GlobalSettingsConfiguration/Index.html,http://192.168.0.137:3000/EXTKarma/GlobalSettingsConfiguration/Index,/EXTKarma/GlobalSettingsConfiguration/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/HelpSupport/Index.html,http://192.168.0.137:3000/EXTKarma/HelpSupport/Index,/EXTKarma/HelpSupport/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/HelpfulLinks/Index.html,http://192.168.0.137:3000/EXTKarma/HelpfulLinks/Index,/EXTKarma/HelpfulLinks/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/Index.html,http://192.168.0.137:3000/EXTKarma/Index,/EXTKarma/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/Installation/Index.html,http://192.168.0.137:3000/EXTKarma/Installation/Index,/EXTKarma/Installation/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/Introduction/Index.html,http://192.168.0.137:3000/EXTKarma/Introduction/Index,/EXTKarma/Introduction/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/Localization/Index.html,http://192.168.0.137:3000/EXTKarma/Localization/Index,/EXTKarma/Localization/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/SEO/Index.html,http://192.168.0.137:3000/EXTKarma/SEO/Index,/EXTKarma/SEO/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/SpeedPerformance/Index.html,http://192.168.0.137:3000/EXTKarma/SpeedPerformance/Index,/EXTKarma/SpeedPerformance/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/TemplatesLayouts/Index.html,http://192.168.0.137:3000/EXTKarma/TemplatesLayouts/Index,/EXTKarma/TemplatesLayouts/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/UpdateVersion/Index.html,http://192.168.0.137:3000/EXTKarma/UpdateVersion/Index,/EXTKarma/UpdateVersion/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/UpgradeGuideForContainer/Index.html,http://192.168.0.137:3000/EXTKarma/UpgradeGuideForContainer/Index,/EXTKarma/UpgradeGuideForContainer/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/UpgradeV13xToV14x/Index.html,http://192.168.0.137:3000/EXTKarma/UpgradeV13xToV14x/Index,/EXTKarma/UpgradeV13xToV14x/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTNsZohoCrm/BuyNow.html,http://192.168.0.137:3000/EXTNsZohoCrm/BuyNow,/EXTNsZohoCrm/BuyNow,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTNsZohoCrm/Configuration/Index.html,http://192.168.0.137:3000/EXTNsZohoCrm/Configuration/Index,/EXTNsZohoCrm/Configuration/Index,"Same route structure, RTD prefix removed, .html removed"
